Stories - Genre & Ending				
Type	Last Point Mean	Last Point Standard Error	Mean Bootstrap CI Lower	Mean Bootstrap CI Higher
2D Archive Search (Genre, Ending)	0.9897384405	0.001114993676	0.9876489282	0.9918330073
1D (Genre) to 2D (Genre, Ending)	0.9923239946	0.0008062909148	0.991422534	0.9941269159
1D (Ending) to 2D (Genre, Ending)	0.9950009227	0.0009055590809	0.9936017156	0.99691571
1D (Genre) to 1D (Ending)	0.9938138723	0.0005924452171	0.992470932	0.9947798848
1D (Ending) to 1D (Genre)	0.9952198505	0.001092584552	0.9936017156	0.9975724936
1D Archive Search (Genre)	0.9937818766	0.001004921957	0.9917994618	0.9957642913
1D Archive Search (Ending)	0.9961733341	0.0007673422934	0.9950098753	0.9978102803
